20 4872 1147 63025520 7.73020198802009e-05 1.8198977176229565e-05
21 2888 722 48129895 6.000428631726705e-05 1.5001071579316763e-05
22 2830 612 51304566 5.516078237558817e-05 1.1928762831752637e-05
1 17911 4508 249250621 7.185939970035221e-05 1.80862137149901e-05
3 15621 3867 198022430 7.888500307768165e-05 1.952809083294251e-05
2 19173 4776 243199373 7.883655193469599e-05 1.9638208524493195e-05
5 14072 3565 180915260 7.77822722085467e-05 1.9705358188137362e-05
4 15049 3885 191154276 7.872698594511169e-05 2.0323897959781973e-05
7 12315 3153 159138663 7.738534286919326e-05 1.9812909952624145e-05
6 13371 3382 171115067 7.81404012774632e-05 1.9764478133301963e-05
9 9512 2374 141213431 6.735903187565777e-05 1.6811432051388937e-05
8 11430 2909 146364022 7.809296194388536e-05 1.9875102912927605e-05
Y 2083 530 59373566 3.508295257185664e-05 8.926531379301018e-06
X 12045 3117 155270560 7.757426778134889e-05 2.007463617056575e-05
11 10443 2619 135006516 7.735182204094505e-05 1.9399063671860104e-05
10 10519 2546 135534747 7.761109407611909e-05 1.8784850795493795e-05
13 7740 1946 115169878 6.72050724930003e-05 1.6896779208188447e-05
12 10542 2576 133851895 7.875869071558531e-05 1.924515151615896e-05
15 6637 1579 102531392 6.473139465423429e-05 1.5400161542720496e-05
14 7025 1779 107349540 6.544042946061995e-05 1.657203188760753e-05
17 6308 1535 81195210 7.768931196803358e-05 1.8905056098752623e-05
16 6422 1566 90354753 7.107539766059679e-05 1.7331683702350445e-05
19 4535 1109 59128983 7.669673601522962e-05 1.8755607550361554e-05
18 5910 1455 78077248 7.569426627331947e-05 1.8635390427695403e-05
